Protein.Group;DMSO_cultbatch1_rep1;DMSO_cultbatch1_rep2;DMSO_cultbatch1_rep3;DMSO_cultbatch1_rep4;DMSO_cultbatch1_rep5;DMSO_cultbatch1_rep6;DMSO_cultbatch2_rep1;DMSO_cultbatch2_rep2;DMSO_cultbatch2_rep3;DMSO_cultbatch2_rep4;DMSO_cultbatch2_rep5;DMSO_cultbatch2_rep6;CAP_cultbatch1_rep1;CAP_cultbatch1_rep2;CAP_cultbatch1_rep3;CAP_cultbatch1_rep4;CAP_cultbatch1_rep5;CAP_cultbatch1_rep6;CAP_cultbatch2_rep1;CAP_cultbatch2_rep2;CAP_cultbatch2_rep3;CAP_cultbatch2_rep4;CAP_cultbatch2_rep5;CAP_cultbatch2_rep6
Q86VM9;14799.2;16173.8;11130.5;8070.93;8456.33;9019.07;12643;15110.3;11778.1;11498;17826;14477.3;10643.2;12950.9;8993.27;9817.7;9854.26;10298.7;10668.8;12962.5;11631.4;14443.7;15330.5;11536.3
Q86VN1;6272.4;5971.06;6951.59;5618.86;6228.37;7457.55;2981.69;;3643.99;5152.8;2403.57;4231.29;5630.65;6651.39;6801.19;5988.44;6962.63;6674.84;3166.61;4069.51;3657.02;4909.51;3677.11;4830.65
Q86VP1;7929.88;8135.97;8643.49;9761.28;9239.9;8473.97;6737.48;6023.61;9846.57;7820.49;6259.02;8377.14;10661.6;11180.2;13426.8;12407.4;18676.1;15949.5;7003.06;7592.68;;6504.64;7536.35;5164.67
Q86VP6;145347;144591;136609;141704;140548;140638;104264;118241;111494;119891;113130;120183;151550;135959;134621;141474;139212;144288;126520;119396;125646;119806;122703;129077
Q86VR2;9843.14;9410.3;8884.62;9429.52;9546.28;9150.49;9371.37;4363.83;8365.15;8258.05;7769.53;7858.84;7154.12;9553.12;7548.3;8578.31;9514.36;7851.7;6049.29;7182.52;8547.72;6163.61;6693.99;8275.21
Q86VS8;14794.2;14874.1;12979;14964.2;13432.7;16974.4;11449.4;18111.1;13764.1;13288.8;10265;14589.9;13947.8;16159.1;12947.1;13438.9;12084.8;14817.7;12938.9;9977.3;7727.9;13120.3;12790.5;12186.9
Q86VU5;17119.9;18446.3;16242.9;20816.9;17582.6;20779.1;19152;20971.8;21151.7;15084.5;29065.1;16941.8;21126.5;18012.3;19701;22467;17219.9;15905.7;27257.5;19631.8;24471.7;19854.5;21497.9;20691.1
Q86VV8;;255.231;431.418;850.492;344.539;;;;;481.347;;568.949;;;157.083;540.556;;;;578.51;;;304.846;
Q86VX2;1891.64;2368.99;1291.1;1400.6;1764.41;1957.91;;;1104.47;;;1430.44;1685.77;2141.57;1523.33;;;917.676;1890.82;;906.222;;1413.87;744.505
Q86VY4;54465.9;51566.4;55262.4;52555.3;51415.9;56980.6;25489.3;28261.8;29650.6;29338.6;24587.2;27374;41715.9;44905.1;44995.9;42528.8;41090.1;42147.3;24612.6;21710.5;22927.7;28919.6;24278.8;25453
Q86W34;9617.2;6880.99;3947.99;3780.41;2672.86;4694.73;5266.17;2901.18;5323.04;5438.73;7238.07;5551.61;6310.95;7269.07;4210.35;3927.37;2647.5;5038.53;5558.9;3539.33;5860.07;5636.63;5101.14;5771.68
Q86W42;18846.6;20580.9;16292.1;16814.8;17813.9;19382.3;33436.7;23532;26378.5;27082.2;26569.1;20154.3;23209.2;19368.6;17213.8;18107.4;17270.9;21346;25961.9;28887.2;34147.6;24273.1;29318.2;29342.9
Q86W56;13881.1;13350.3;11084.4;12282.1;13238.3;13705.3;10599;8181.48;10009.5;11449.8;11097.7;10789.2;14429.4;12648.6;12075.4;11941.6;13232.4;13346.8;9815.02;11583.3;10744.2;9489.87;12391.5;10129.5
Q86W92;18670.5;17241.9;14780.4;16898.6;15179.4;16054.7;24246.2;19247.7;25359.3;23692;26208.1;25716.3;16397.7;15998.5;12473.1;15476.3;15753;14198.1;18930.6;21096.4;24678.9;21155.3;23672.4;24870.5
Q86WB0;45833.9;41297.6;38085.1;39645.1;45617.8;34749.5;40783.1;50750.8;43393.9;37975.3;40978;37700.4;46946.7;43823.8;38004.8;39319.8;44626.2;42219.6;46447.5;49177.8;46731.9;46361.7;42694.4;48847.7
Q86WC4;11171.6;10801.7;6500.74;7811.06;7717.33;10040.9;14231.9;31871.1;10144;10749;14478.1;7912.41;9577.58;7980.64;4717.47;6369.14;7184.9;5480.41;10555.9;12159.3;8005.6;11655.8;11244.4;5926.02
Q86WJ1;46123.4;44504.5;25804.2;24000.3;23430.6;41774.1;70865.9;10579.6;57211.4;60859.3;98205.9;64329.9;42937.5;39783.8;23282.1;22499.1;22201.2;30005.3;70461.4;59696.5;65270.9;71331;52227.1;69804
Q86WQ0;13724.1;14511.9;15496.5;15593.8;16301.1;16352.2;16908.7;21455.8;14307.4;18644.1;15862.6;13908.7;15162.1;12992.1;14915.8;14980.9;15587.2;12720.8;16673.9;13961.5;19653;16697.3;21073.2;19723.9
